rank,id,name_en,name_th,province,province_th,region,tier,reality,league,composite_score,livability,economy,safety,wellbeing,environment,hospitality,digital,gpp_per_capita_baht,data_confidence,smart_dimensions,tagline_en
30,phitsanulok-ppao,Phitsanulok PAO Smart City,อบจ.พิษณุโลกสมาร์ทซิตี้,Phitsanulok,พิษณุโลก,north,beta,operational,province,57.6,58,56,53,62,58,64,48,132000,high,economy; environment; governance; living; mobility,Provincial-level smart governance covering entire Phitsanulok province. Digital services reaching rural areas.
31,yala,Yala Smart City,ยะลาสมาร์ทซิตี้,Yala,ยะลา,south,beta,operational,province,57.3,60,48,52,58,70,64,55,95000,high,economy; environment; governance; living,Smart city in deep south conflict zone. Impressive green city achievements despite security challenges. Won Smart Environment excellence award.
32,ubon,Ubon Ratchathani Smart City,อุบลราชธานีสมาร์ทซิตี้,Ubon Ratchathani,อุบลราชธานี,northeast,beta,operational,province,56.2,55,54,49,60,58,72,45,98000,high,economy; environment; living; mobility; people,Mekong border city with cultural richness. Smart initiatives focus on flood management and cultural tourism. Genuine but early stage.
33,nakhonsawan,Nakhonsawan Smart City,นครสวรรค์สมาร์ทซิตี้,Nakhon Sawan,นครสวรรค์,central,beta,operational,province,55.7,54,58,48,60,55,65,48,138000,high,energy; environment; governance; living,"Where four rivers become one. Ping, Wang, Yom, and Nan converge here before forming the Chao Phraya — making Nakhon Sawan the gateway through which the 2011 catastrophe flowed (12.6% of GDP, USD 46.5B). World Bank CCDR 2025: the Chao Phraya basin holds 40% of Thailand's population, 78% of its workforce, 66% of its GDP — and the current 120-year flood is projected to return every 18 years by 2040 under moderate emissions, or every 5.4 years under high. The IoT flood sensors here are not a smart city project. They are survival infrastructure for the national economy."
34,tak,Tak Smart City,ตากสมาร์ทซิตี้,Tak,ตาก,north,beta,operational,province,55.7,62,50,52,54,62,60,42,108000,high,economy; energy; environment; governance; living; mobility; people,Border city with smart customs and trade digitization. Genuine cross-border tech with Myanmar trade.
35,mae-moh,Mae Moh Livable City,แม่เมาะเมืองน่าอยู่,Lampang,ลำปาง,north,beta,operational,township,55.6,61,52,55,55,45,62,55,142000,high,economy; energy; environment,Coal mining town transitioning to clean energy. Smart energy monitoring is real but livability challenges from industrial legacy remain.
36,ubon-muni,Ubon Ratchathani Municipality,เทศบาลนครอุบลราชธานี,Ubon Ratchathani,อุบลราชธานี,northeast,beta,operational,municipality,54.7,54,52,48,58,56,72,42,98000,high,economy; environment; living; mobility; people,Municipal-level smart city complementing the larger Ubon project. Focus on candle festival tourism tech.
37,bang-saray,Bang Saray Smart City,บางเสร่สมาร์ทซิตี้,Chon Buri,ชลบุรี,east,beta,partial,district,53.7,62,56,34,52,58,64,38,380000,high,environment; governance; living; mobility,Coastal community near Pattaya with fishing village smart tech. Small but genuine digital governance.
38,phlapphla,Phlapphla Narai Smart City,ตำบลพลับพลานารายณ์สมาร์ทซิตี้,Chanthaburi,จันทบุรี,east,beta,partial,district,53.3,55,48,58,50,62,58,35,178000,high,energy; environment; governance; living; people,Sub-district level smart city with community energy and environmental focus. Tiny but experimental.
39,maesai,Mae Sai Smart City,แม่สายสมาร์ทซิตี้,Chiang Rai,เชียงราย,north,beta,operational,district,52.8,57,50,48,52,52,62,42,108000,high,energy; environment; governance; living; people,"Northernmost border town rebuilding after 2024 floods. Smart disaster management is now a real priority, not just a plan."
40,tai-yong,Tai Yong Smart City,ไทยวังสมาร์ทซิตี้,Nakhon Si Thammarat,นครศรีธรรมราช,south,beta,partial,campus,51.6,49,42,60,52,64,60,35,118000,high,environment; governance; living,Small sub-district smart city. Community-scale digital governance and agriculture tech. Genuine but tiny.
41,pattani,Pattani Smart City,ปัตตานีสมาร์ทซิตี้,Pattani,ปัตตานี,south,beta,operational,province,51,52,42,51,52,58,62,42,72000,high,environment; governance; living; mobility; people,Deep south smart city facing security challenges. Digital governance and safety systems are genuine attempts at improving a difficult situation.
42,thep-paraj,Thep Paraj Smart City,เทพราชสมาร์ทซิตี้,Chachoengsao,ฉะเชิงเทรา,east,beta,partial,district,50.8,52,48,50,50,58,55,38,422000,high,environment; governance; living,Small EEC sub-district in Chachoengsao — the EEC province with the largest projected water deficit (897 MCM by 2037). Smart agriculture IoT here has a real mandate beyond productivity: water efficiency in an area facing 60%+ supply gaps is not a differentiator. It is the survival condition.
43,phichit,Phichit Smart City,พิจิตรสมาร์ทซิตี้,Phichit,พิจิตร,north,beta,partial,province,50.7,49,42,55,55,58,62,30,78000,high,people,Small agricultural province with digital literacy focus. Only one smart dimension so far. Very early stage.
44,nikhom-phatthana,Nikhom Phatthana Smart City,นิคมพัฒนาสมาร์ทซิตี้,Rayong,ระยอง,east,beta,partial,special-zone,49.3,57,55,34,48,52,45,40,1020000,high,environment; governance; living,"Industrial district adjacent to Map Ta Phut. Environmental monitoring is essential — and the EEC water deficit makes water recycling the next critical technology. World Bank CCDR 2025: Rayong faces a 292 MCM water deficit by 2037, with only 37% of EEC wastewater currently treated. For an industrial district producing petrochemicals, water circularity is not optional."
45,narathiwat,Narathiwat Smart City,นราธิวาสสมาร์ทซิตี้,Narathiwat,นราธิวาส,south,beta,operational,province,49.1,48,40,49,50,62,60,40,68000,high,economy; energy; environment; governance; living; people,Southernmost smart city with genuine cross-border digital trade pilot. Security situation severely limits livability outcomes.
46,khao-khun-song,Khao Khun Song Smart City,เขาคุนซองสมาร์ทซิตี้,Rayong,ระยอง,east,beta,partial,special-zone,48.4,56,52,34,45,55,45,42,1020000,high,economy; environment; living,Small smart agriculture zone. Some digital farming tech deployed but still very early stage.
47,reg-chiang-mai-pao,Chiang Mai PAO,อบจ.เชียงใหม่,Chiang Mai,เชียงใหม่,north,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
48,reg-lamphun,Lamphun Municipality,เทศบาลเมืองลำพูน,Lamphun,ลำพูน,north,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
49,reg-lampang-pao,Lampang PAO,อบจ.ลำปาง,Lampang,ลำปาง,north,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
50,reg-uttaradit,Uttaradit Municipality,เทศบาลเมืองอุตรดิตถ์,Uttaradit,อุตรดิตถ์,north,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
51,reg-sukhothai,Sukhothai Municipality,เทศบาลเมืองสุโขทัย,Sukhothai,สุโขทัย,north,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
52,reg-phrae,Phrae Municipality,เทศบาลเมืองแพร่,Phrae,แพร่,north,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
53,reg-phayao,Phayao Municipality,เทศบาลเมืองพะเยา,Phayao,พะเยา,north,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
54,reg-mae-hong-son,Mae Hong Son Municipality,เทศบาลเมืองแม่ฮ่องสอน,Mae Hong Son,แม่ฮ่องสอน,north,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
55,reg-kamphaeng-phet,Kamphaeng Phet Municipality,เทศบาลเมืองกำแพงเพชร,Kamphaeng Phet,กำแพงเพชร,north,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
56,reg-uthai-thani,Uthai Thani Municipality,เทศบาลเมืองอุทัยธานี,Uthai Thani,อุทัยธานี,north,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
57,reg-nakhon-sawan-pao,Nakhon Sawan PAO,อบจ.นครสวรรค์,Nakhon Sawan,นครสวรรค์,north,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
58,reg-phetchabun,Phetchabun Municipality,เทศบาลเมืองเพชรบูรณ์,Phetchabun,เพชรบูรณ์,north,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
59,reg-ayutthaya,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,Ayutthaya,อยุธยา,central,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
60,reg-pathum-thani,Pathum Thani Municipality,เทศบาลเมืองปทุมธานี,Pathum Thani,ปทุมธานี,central,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
61,reg-nakhon-pathom,Nakhon Pathom Municipality,เทศบาลนครนครปฐม,Nakhon Pathom,นครปฐม,central,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
62,reg-samut-sakhon,Samut Sakhon Municipality,เทศบาลนครสมุทรสาคร,Samut Sakhon,สมุทรสาคร,central,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
63,reg-samut-songkhram,Samut Songkhram Municipality,เทศบาลเมืองสมุทรสงคราม,Samut Songkhram,สมุทรสงคราม,central,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
64,reg-ang-thong,Ang Thong Municipality,เทศบาลเมืองอ่างทอง,Ang Thong,อ่างทอง,central,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
65,reg-singburi,Sing Buri Municipality,เทศบาลเมืองสิงห์บุรี,Sing Buri,สิงห์บุรี,central,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
66,reg-lop-buri,Lop Buri Municipality,เทศบาลเมืองลพบุรี,Lop Buri,ลพบุรี,central,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
67,reg-saraburi,Saraburi Municipality,เทศบาลเมืองสระบุรี,Saraburi,สระบุรี,central,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
68,reg-chainat,Chainat Municipality,เทศบาลเมืองชัยนาท,Chainat,ชัยนาท,central,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
69,reg-suphan-buri,Suphan Buri Municipality,เทศบาลเมืองสุพรรณบุรี,Suphan Buri,สุพรรณบุรี,central,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
70,reg-kanchanaburi,Kanchanaburi Municipality,เทศบาลเมืองกาญจนบุรี,Kanchanaburi,กาญจนบุรี,central,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
71,reg-ratchaburi,Ratchaburi Municipality,เทศบาลเมืองราชบุรี,Ratchaburi,ราชบุรี,central,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
72,reg-phetchaburi,Phetchaburi Municipality,เทศบาลเมืองเพชรบุรี,Phetchaburi,เพชรบุรี,central,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
73,reg-prachuap,Prachuap Khiri Khan,ประจวบคีรีขันธ์,Prachuap Khiri Khan,ประจวบคีรีขันธ์,central,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
74,reg-hua-hin,Hua Hin Municipality,เทศบาลเมืองหัวหิน,Prachuap Khiri Khan,ประจวบคีรีขันธ์,central,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
75,reg-udon-thani,Udon Thani Municipality,เทศบาลนครอุดรธานี,Udon Thani,อุดรธานี,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
76,reg-nong-khai,Nong Khai Municipality,เทศบาลเมืองหนองคาย,Nong Khai,หนองคาย,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
77,reg-sakon-nakhon,Sakon Nakhon Municipality,เทศบาลเมืองสกลนคร,Sakon Nakhon,สกลนคร,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
78,reg-nakhon-phanom,Nakhon Phanom Municipality,เทศบาลเมืองนครพนม,Nakhon Phanom,นครพนม,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
79,reg-mukdahan,Mukdahan Municipality,เทศบาลเมืองมุกดาหาร,Mukdahan,มุกดาหาร,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
80,reg-roi-et,Roi Et Municipality,เทศบาลเมืองร้อยเอ็ด,Roi Et,ร้อยเอ็ด,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
81,reg-kalasin,Kalasin Municipality,เทศบาลเมืองกาฬสินธุ์,Kalasin,กาฬสินธุ์,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
82,reg-maha-sarakham,Maha Sarakham Municipality,เทศบาลเมืองมหาสารคาม,Maha Sarakham,มหาสารคาม,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
83,reg-chaiyaphum,Chaiyaphum Municipality,เทศบาลเมืองชัยภูมิ,Chaiyaphum,ชัยภูมิ,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
84,reg-buriram,Buriram Municipality,เทศบาลเมืองบุรีรัมย์,Buriram,บุรีรัมย์,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
85,reg-surin,Surin Municipality,เทศบาลเมืองสุรินทร์,Surin,สุรินทร์,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
86,reg-sisaket,Sisaket Municipality,เทศบาลเมืองศรีสะเกษ,Sisaket,ศรีสะเกษ,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
87,reg-amnat-charoen,Amnat Charoen Municipality,เทศบาลเมืองอำนาจเจริญ,Amnat Charoen,อำนาจเจริญ,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
88,reg-yasothon,Yasothon Municipality,เทศบาลเมืองยโสธร,Yasothon,ยโสธร,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
89,reg-loei,Loei Municipality,เทศบาลเมืองเลย,Loei,เลย,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
90,reg-nong-bua-lamphu,Nong Bua Lamphu Municipality,เทศบาลเมืองหนองบัวลำภู,Nong Bua Lamphu,หนองบัวลำภู,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
91,reg-bueng-kan,Bueng Kan Municipality,เทศบาลเมืองบึงกาฬ,Bueng Kan,บึงกาฬ,northeast,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
92,reg-chon-buri-muni,Chon Buri Municipality,เทศบาลเมืองชลบุรี,Chon Buri,ชลบุรี,east,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
93,reg-pattaya,Pattaya City,เมืองพัทยา,Chon Buri,ชลบุรี,east,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
94,reg-sri-racha,Sri Racha Municipality,เทศบาลเมืองศรีราชา,Chon Buri,ชลบุรี,east,gamma,planned,,39.5,40,40,40,40,40,40,30,,low,living; governance,Promotion zone — awaiting sufficient data for full assessment.
